id,group_id,person_id,start_date_type,start_year,end_date_type,end_year,created_by,created_at,approved_by,approved_on,citation
40,81,10012709,AF/IN,1606,BF/IN,1618,1,2015-03-09 19:07:40.508923,4,2015-06-15 21:11:56.937926,
42,81,10007944,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:09:15.322110,4,2015-06-15 21:12:08.061331,
46,81,10004223,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:11:02.483827,4,2015-06-15 21:12:24.316380,
53,63,10002166,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:19:28.877261,4,2015-06-15 21:13:35.913965,
51,81,10003014,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:13:34.012052,4,2015-06-15 21:13:22.553382,
54,63,10012460,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:20:04.496271,4,2015-06-15 21:13:39.643677,
50,81,10003267,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:13:11.655746,4,2015-06-15 21:13:10.198830,
2,60,10006483,AF/IN,1641,BF/IN,1651,1,2015-03-09 18:12:18.337477,4,2015-06-15 20:51:58.093713,
3,60,10008309,AF/IN,1641,BF/IN,1674,1,2015-03-09 18:12:37.953341,4,2015-06-15 20:52:04.653680,
5,60,10006423,AF/IN,1641,BF/IN,1678,1,2015-03-09 18:13:29.321368,4,2015-06-15 20:52:30.460958,
6,60,10003267,AF/IN,1641,BF/IN,1655,1,2015-03-09 18:13:51.995444,4,2015-06-15 20:52:33.937277,
8,65,10001623,AF/IN,1662,BF/IN,1684,1,2015-03-09 18:14:46.758245,4,2015-06-15 20:52:40.620858,
11,65,10006217,AF/IN,1662,BF/IN,1705,1,2015-03-09 18:27:57.121409,4,2015-06-15 20:52:51.196938,
12,65,10013184,AF/IN,1662,BF/IN,1707,1,2015-03-09 18:28:55.026398,4,2015-06-15 20:52:53.921702,
14,65,10012261,AF/IN,1662,BF/IN,1713,1,2015-03-09 18:37:57.628170,4,2015-06-15 20:53:02.464742,
16,65,10011327,AF/IN,1662,BF/IN,1702,1,2015-03-09 18:38:46.955111,4,2015-06-15 20:57:53.511303,
17,65,10008386,AF/IN,1662,BF/IN,1715,1,2015-03-09 18:39:09.118611,4,2015-06-15 20:57:56.907394,
19,65,10011177,AF/IN,1662,BF/IN,1753,1,2015-03-09 18:39:58.207782,4,2015-06-15 20:58:02.422693,
20,65,10004425,AF/IN,1690,BF/IN,1754,1,2015-03-09 18:40:25.820505,4,2015-06-15 20:58:05.572533,
28,81,10009834,AF/IN,1606,BF/IN,1624,1,2015-03-09 18:58:31.272457,4,2015-06-15 20:58:15.780353,
30,81,10003555,AF/IN,1606,BF/IN,1624,1,2015-03-09 18:59:30.348297,4,2015-06-15 20:58:22.018132,
33,81,10010388,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:00:46.207569,4,2015-06-15 20:58:29.240613,
38,81,10002756,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:06:39.703226,4,2015-06-15 21:11:50.305686,
55,63,10002919,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:20:23.366796,4,2015-06-15 21:13:43.031038,
57,63,10003846,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:21:03.081829,4,2015-06-15 21:13:49.401908,
59,63,10005473,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:22:02.548522,4,2015-06-15 21:13:55.675502,
60,63,10010979,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:22:30.809675,4,2015-06-15 21:13:58.139008,
62,63,10002407,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:23:11.037360,4,2015-06-15 21:15:00.222125,
64,68,10001775,AF/IN,1594,BF/IN,1597,1,2015-03-09 19:37:41.068150,4,2015-06-15 21:15:06.337014,
65,68,10001776,AF/IN,1594,BF/IN,1619,1,2015-03-09 19:37:57.698396,4,2015-06-15 21:18:51.655696,
67,68,10005786,AF/IN,1594,BF/IN,1630,1,2015-03-09 19:38:37.769336,4,2015-06-15 21:18:57.866980,
69,68,10006821,AF/IN,1594,BF/IN,1610,1,2015-03-09 19:39:27.384187,4,2015-06-15 21:19:04.267366,
70,68,10010366,AF/IN,1595,BF/IN,1642,1,2015-03-09 19:39:51.715512,4,2015-06-15 21:19:07.205255,
72,68,10010938,AF/IN,1594,BF/IN,1636,1,2015-03-09 19:40:31.411684,4,2015-06-15 21:19:14.784893,
74,67,10011137,AF/IN,1594,BF/IN,1603,1,2015-03-09 19:41:18.923825,4,2015-06-15 21:19:20.064698,
75,67,10000147,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:41:38.423752,4,2015-06-15 21:19:22.961274,
77,67,10010512,AF/IN,1594,BF/IN,1624,1,2015-03-09 19:42:23.013305,4,2015-06-15 21:19:48.539028,
79,67,10003677,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:43:00.798848,4,2015-06-15 21:19:54.911544,
80,67,10008612,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:43:28.232579,4,2015-06-15 21:19:57.845699,
82,67,10008272,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:44:19.270369,4,2015-06-15 21:20:03.464942,
83,67,10012634,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:44:41.964205,4,2015-06-15 21:20:06.276991,
85,2,10003910,AF/IN,1520,BF/IN,1520,1,2015-03-09 21:41:42.125743,4,2015-06-15 21:20:12.109959,
87,4,10000353,AF/IN,1536,BF/IN,1537,1,2015-03-09 21:44:28.340040,4,2015-06-15 21:20:18.055841,
88,5,10011526,AF/IN,1549,BF/IN,1549,1,2015-03-09 21:45:20.468362,4,2015-06-15 21:20:20.911884,
90,7,10010400,AF/IN,1555,BF/IN,1555,1,2015-03-09 21:46:56.449987,4,2015-06-15 21:20:26.617638,
96,13,10000452,AF/IN,1584,BF/IN,1603,1,2015-03-09 21:55:37.796892,4,2015-06-15 21:21:33.386113,
93,10,10010661,AF/IN,1563,BF/IN,1570,1,2015-03-09 21:49:53.358342,4,2015-06-15 21:20:41.273159,
91,8,10001979,AF/IN,1557,BF/IN,1558,1,2015-03-09 21:47:31.394818,4,2015-06-15 21:20:53.167390,
97,16,10003577,AF/IN,1600,BF/IN,1631,1,2015-03-09 21:56:02.004652,4,2015-06-15 21:21:37.342359,
99,18,10011273,AF/IN,1606,BF/IN,1624,1,2015-03-09 21:57:23.239178,4,2015-06-15 21:21:42.733413,
100,19,10006720,AF/IN,1611,BF/IN,1611,1,2015-03-09 21:57:58.191380,4,2015-06-15 21:21:45.141147,
102,21,10006720,AF/IN,1620,BF/IN,1629,1,2015-03-09 21:58:49.485070,4,2015-06-15 21:21:50.612388,
104,23,10012762,AF/IN,1630,BF/IN,1683,1,2015-03-09 22:00:15.787134,4,2015-06-15 21:21:56.273799,
105,24,10005202,AF/IN,1630,BF/IN,1641,1,2015-03-09 22:01:11.848487,4,2015-06-15 21:21:58.752509,
107,27,10010029,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:03:48.118708,4,2015-06-15 21:22:03.856029,
108,27,10005483,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:04:06.350504,4,2015-06-15 21:22:06.512865,
110,27,10011657,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:04:34.555366,4,2015-06-15 21:22:12.780220,
112,28,10008000,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:05:57.627911,4,2015-06-15 21:22:37.795799,
113,28,10001933,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:06:16.514572,4,2015-06-15 21:22:41.286080,
115,28,10008779,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:06:52.405381,4,2015-06-15 21:22:48.610289,
