id,name,description,start_date_type,start_year,end_date_type,end_year,created_by,created_at,approved_by,approved_on,citation
6,Contributors to A Mirror for Magistrates,Contributors to A Mirror for Magistrates,IN,1553,IN,1563,3,2015-02-25 00:47:55.539219,4,2015-06-15 21:20:23.364909,
7,Marian martyrs,Marian martyrs,CA,1555,CA,1558,3,2015-02-25 00:47:55.565542,4,2015-06-15 21:20:26.640034,
26,Cavalier poets,Cavalier poets,BF/IN,1640,AF/IN,1660,3,2015-02-25 00:47:55.810136,4,2015-09-30 01:45:05.627399,
58,Puritans,Puritans,CA,1532,AF,1700,3,2015-02-25 00:47:56.327579,4,2016-03-24 13:40:01.887240,
13,Castalian band,Castalian band,IN,1584,IN,1603,3,2015-02-25 00:47:55.650012,4,2015-06-15 21:21:33.414332,
10,Participants in the vestiarian controversy,Participants in the vestiarian controversy,CA,1563,CA,1570,3,2015-02-25 00:47:55.605823,4,2015-06-15 21:20:41.340688,
11,Jesuit missionaries to England,Jesuit missionaries to England,IN,1540,CA,1700,3,2015-02-25 00:47:55.621803,4,2016-01-12 18:44:36.062473,
20,Pilgrim Fathers,Pilgrim Fathers,CA,1620,CA,1620,3,2015-02-25 00:47:55.718610,4,2015-10-27 19:23:52.480864,
21,Sons of Ben,Sons of Ben,CA,1620,CA,1629,3,2015-02-25 00:47:55.736910,4,2015-06-15 21:21:50.660262,
29,Westminster assembly,Westminster assembly,IN,1643,IN,1652,3,2015-02-25 00:47:55.855415,4,2015-06-15 21:22:56.623576,
30,Invisible College,Invisible College,IN,1646,IN,1647,3,2015-02-25 00:47:55.869088,4,2015-06-15 21:22:59.372436,
32,Kirk party,Kirk party,IN,1648,IN,1651,3,2015-02-25 00:47:55.895367,4,2015-06-15 21:23:05.239744,
33,Protectoral council,Protectoral council,IN,1653,IN,1659,3,2015-02-25 00:47:55.908505,4,2015-06-15 21:23:08.885698,
35,Major-generals,Major-generals,IN,1655,IN,1657,3,2015-02-25 00:47:55.989353,4,2015-06-15 21:23:16.322535,
37,Participants in the Savoy conference,Participants in the Savoy conference,IN,1661,IN,1661,3,2015-02-25 00:47:56.018132,4,2015-06-15 21:25:52.628891,
38,Participants in the Pentland rising,Participants in the Pentland rising,IN,1666,IN,1666,3,2015-02-25 00:47:56.031974,4,2015-06-15 21:25:55.652579,
42,Immortal seven,Immortal seven,IN,1688,IN,1688,3,2015-02-25 00:47:56.088217,4,2015-06-15 21:26:22.893003,
46,Darien investors and colonists,Darien investors and colonists,IN,1695,IN,1707,3,2015-02-25 00:47:56.152097,4,2015-10-27 19:24:43.619771,
16,Metaphysical poets,Metaphysical poets,CA,1600,CA,1690,3,2015-02-25 00:47:55.664658,4,2015-09-29 19:22:52.638184,
48,Ranters,Ranters,CA,1649,CA,1660,3,2015-02-25 00:47:56.182573,4,2015-06-15 21:27:31.642373,
51,Muggletonians,Muggletonians,CA,1651,AF,1800,3,2015-02-25 00:47:56.229286,4,2015-06-15 21:27:38.697792,
47,Kit-Cat Club,Kit-Cat Club,IN,1696,IN,1720,3,2015-02-25 00:47:56.166989,4,2015-09-24 18:14:07.090725,
45,Whig junto,Whig junto,CA,1694,CA,1716,3,2015-02-25 00:47:56.136032,4,2015-06-15 21:27:24.144974,
54,Erastians,Erastians,CA,1643,CA,1649,3,2015-02-25 00:47:56.272627,4,2015-06-15 21:27:07.413875,
5,Contributors to the metrical psalter of 1562,Contributors to the metrical psalter of 1562,CA,1549,IN,1562,3,2015-02-25 00:47:55.524241,4,2015-06-15 21:20:20.937488,
76,Signatories of the Death Warrant of Charles I,59 signatories of Charles' death warrant; a subset of the Group 'Regicides',IN,1649,IN,1649,5,2015-03-25 01:07:29.466983,5,2015-03-25 01:09:43.833509,
12,Members of the Dedham conference,Members of the Dedham conference,IN,1582,IN,1589,3,2015-02-25 00:47:55.636915,4,2015-06-15 21:29:33.748956,
53,Presbyterians,Presbyterians,CA,1560,AF,1800,3,2015-02-25 00:47:56.258475,4,2017-02-20 19:13:52.785179,
55,Independents,Independents,BF,1642,AF,1660,3,2015-02-25 00:47:56.288907,4,2015-06-15 21:27:04.760451,
40,Green Ribbon Club,Green Ribbon Club,CA,1674,CA,1683,3,2015-02-25 00:47:56.060937,4,2017-03-08 15:49:45 -0500,
3,Monastic visitors in England and Wales,Monastic visitors in England and Wales,IN,1535,IN,1536,3,2015-02-25 00:47:55.493222,4,2015-06-15 21:20:14.530171,
83,Queen Anne's Men,A theatrical troupe formerly known as Worcester's Men,IN,1603,IN,1619,19,2015-04-24 15:43:52.777905,4,2016-01-18 15:49:06.944080,
70,East India Company,East India Company,IN,1600,AF,1800,3,2015-02-25 00:47:56.501633,4,2015-09-30 14:28:15.807225,
8,Lords of the congregation,Lords of the congregation,IN,1557,IN,1560,3,2015-02-25 00:47:55.579022,4,2015-06-15 21:20:53.201856,
75,Royal Africa Company,Royal Africa Company,IN,1660,IN,1752,3,2015-02-25 00:47:56.565841,4,2015-12-18 00:48:48.811964,
63,Great Tew Circle,"group of scholars who studied at the home of Lucius Cary, Viscount Falkland, in Great Tew, Oxfordshire",IN,1633,IN,1639,3,2015-02-25 00:47:56.397352,3,2015-06-15 21:15:00.303135,
27,Five members,Five members,IN,1641,IN,1641,3,2015-02-25 00:47:55.826745,4,2015-06-15 21:22:34.802692,
1,Henry VII's council learned in the law,Henry VII's council learned in the law,CA,1499,IN,1509,3,2015-02-25 00:47:55.445624,4,2015-06-15 21:20:09.577215,
18,Founders of the Virginia Company,Founders of the Virginia Company,IN,1606,IN,1624,3,2015-02-25 00:47:55.691488,4,2015-06-15 21:21:42.772143,
28,Smectymnuus,Smectymnuus,IN,1641,IN,1641,3,2015-02-25 00:47:55.840056,4,2015-06-15 21:22:51.958241,
