id	display_name	start_year	end_year	birth_year_type	ext_birth_year	death_year_type	ext_death_year
10012709	Thomas West	1606	1618	IN	1577	IN	1618
10007944	Sir Robert Mansell	1606	1624	IN	1570	IN	1652
10004223	Nicholas Ferrar	1606	1624	IN	1593	IN	1637
10003014	Sir Thomas Crewe	1606	1624	IN	1566	IN	1634
10003267	Sir John Danvers	1606	1624	IN	1584	IN	1655
10009834	Sir Francis Popham	1606	1624	IN	1572	IN	1644
10003555	Sir John Dodderidge	1606	1624	IN	1555	IN	1628
10010388	Sir Thomas Roe	1606	1624	IN	1581	IN	1644
10002756	Edward Conway	1606	1624	IN	1564	IN	1631
10012994	Edward Maria Wingfield	1606	1624	IN	1550	AF/IN	1619
10011293	Sir George Somers	1606	1624	IN	1554	IN	1610
10009330	William Parker	1606	1624	AF	1508	IN	1618
10005843	William Herbert	1606	1624	IN	1580	IN	1630
10005039	Bartholomew Gosnold	1606	1607	AF	1497	IN	1607
10005363	Richard Hakluyt	1606	1616	CA	1552	IN	1616
10000495	Sir James Bagg	1606	1624	IN	1592	IN	1638
10002243	Edward Cecil	1606	1624	IN	1572	IN	1638
10010258	Robert Rich	1606	1619	CA	1559	IN	1619
10004222	John Ferrar	1606	1624	IN	1588	IN	1657
10002757	Edward Conway	1606	1624	IN	1594	IN	1655
10009835	Sir John Popham	1606	1607	IN	1531	IN	1607
10004724	Sir Thomas Gates	1606	1622	AF	1512	IN	1622
10006012	Thomas Hobbes	1606	1624	IN	1588	IN	1679
10000473	Francis Bacon	1606	1624	IN	1561	IN	1626
10010685	Sir Edwin Sandys	1606	1624	IN	1561	IN	1629
10010439	Sir William Romney	1606	1611	AF	1501	IN	1611
10003919	John Eldred	1606	1624	IN	1552	IN	1632
10005028	Sir Ferdinando Gorges	1606	1624	IN	1568	IN	1647
10011712	Matthew Sutcliffe	1606	1624	IN	1549	IN	1629
10011212	John Smith	1606	1624	IN	1580	IN	1631
10012309	Horace Vere	1606	1624	IN	1565	IN	1635
10002229	William Cavendish	1606	1624	IN	1590	IN	1628
10011273	Sir Thomas Smythe	1606	1624	IN	1558	IN	1625
10013056	Arthur Wodenoth	1606	1624	IN	1594	IN	1645
10000012	Sir Maurice Abbot	1610	1624	IN	1565	IN	1642
10000693	Sir Francis Barnham	1612	1624	IN	1576	CA	1646
10001553	Henry Briggs	1619	1624	IN	1561	IN	1631
10009855	John Pory	1618	1622	IN	1572	IN	1633
10008801	Christopher Newport	1606	1624	IN	1561	IN	1617
10011272	Thomas Smythe	1606	1624	IN	1522	IN	1591
10010122	John Ratcliffe	1606	1624	AF	1500	IN	1610
10000274	Sir Samuel Argall	1606	1624	IN	1580	IN	1626
10010676	William Sanderson	1606	1624	IN	1547	IN	1638
10054857	Edward Sackville Earl of Dorset	1606	1624	IN	1590	IN	1652
10054858	Richard Sackville	1606	1624	IN	1622	IN	1677
10013164	Henry Wriothesley	1606	1624	IN	1573	IN	1624
