display_name,prefix,first_name,last_name,suffix,title,all_search_names,gender,historical_significance,Birth Year Type,ext_birth_year,Alternate Birth Year,Death Year Type,ext_death_year,Alternate Death Year,Group List,justification
Queen Anne of Denmark,Queen,Anne,,of Denmark,,"Anne of Denmark, Queen Anne, Queen Anne of Denmark, Anne, Anne of Denmark",female,"queen of England, Scotland, and Ireland, consort of James VI and I",IN,1574,1574,IN,1619,1619,,
Prince Arthur Tudor,Prince,Arthur,Tudor,,,"Prince Arthur, Prince Arthur, Prince Arthur Tudor, Prince Tudor, Arthur, Arthur Tudor",male,,IN,1486,1486,IN,1502,1502,,
Charles Brandon,,Charles,Brandon,,Duke of Suffolk,"Charles Brandon Duke of Suffolk, Charles Brandon, Lord Suffolk",male,"magnate, courtier, and soldier, husband to Mary Tudor",CA,1484,,IN,1545,,,
Henry Brooke,,Henry,Brooke,,,"Henry Brooke, Henry, Henry Brooke",male,conspirator,IN,1564,1564,IN,1619,1619,,
Edmund Campion,,Edmund,Campion,,,"Edmund Campion, Edmund, Edmund Campion",male,Jesuit and martyr,IN,1540,1540,IN,1581,1581,,
Queen Katherine Hapsburg of Aragon,Queen,Katherine,Hapsburg,of Aragon,,"Katherine of Aragon, Queen Katherine, Queen Katherine Hapsburg, Queen Katherine Hapsburg of Aragon, Queen Katherine of Aragon, Queen Hapsburg, Queen Hapsburg of Aragon, Katherine, Katherine Hapsburg, Katherine Hapsburg of Aragon, Katherine of Aragon",female,"queen of England, first consort of Henry VIII",IN,1485,1485,IN,1536,1536,,
Robert Cecil,,Robert,Cecil,,,"Robert Cecil, Robert, Robert Cecil",male,politician and courtier,IN,1563,1563,IN,1612,1612,,
Sir Thomas Chamberlain,Sir,Thomas,Chamberlain,,,"Thomas Chamberlain, Sir Thomas, Sir Thomas Chamberlain, Sir Chamberlain, Thomas, Thomas Chamberlain",male,judge,AF,1515,NA,IN,1625,1625,,
King Charles Stuart I,King,Charles,Stuart,I,,"King Charles, Charles I, King Charles, King Charles Stuart, King Charles Stuart I, King Charles I, King Stuart, King Stuart I, Charles, Charles Stuart, Charles Stuart I, Charles I",male,"king of England, Scotland, and Ireland",IN,1600,1600,IN,1649,1649,,
Charles Coleman,,Charles,Coleman,,,"Charles Coleman, Charles, Charles Coleman",male,musician and composer,AF,1554,NA,IN,1664,1664,,
Thomas Coventry,,Thomas,Coventry,,,"Thomas Coventry, Thomas, Thomas Coventry",male,lawyer,IN,1578,1578,IN,1640,1640,,
Lady Eleanor Davies,Lady,Eleanor,Davies,,,"Lady Eleanor Davies, Lady Eleanor Touchet, Lady Eleanor Douglas, Lady Eleanor, Lady Eleanor Davies, Lady Davies, Eleanor, Eleanor Davies",female,prophetess,IN,1590,1590,IN,1652,1652,,
