1	Enemy of	1
2	Rival of	2
3	Acquaintance of	3
4	Met	4
5	Knew in passing	5
6	Close friend of	6
7	Friend of	7
8	Attracted to	59
9	Had child with	9
10	Sexual partner of	10
11	Mentee/Student of	12
12	Mentor/Teacher of	11
13	Aunt/Uncle of	15
14	Cousin of	15
15	Niece/Nephew of	13
16	Child-in-law of	20
17	Guardian of	23
18	Heir(ess) of	22
19	Other-in-law of	19
20	Parent-in-law of	21
21	Sibling-in-law of	20
22	Testator to	18
23	Ward of	17
24	Great-grandparent of	26
25	Child of	28
26	Great-grandchild of	24
27	Grandchild of	28
28	Grandparent of	27
29	Parent of	25
30	Sibling of	30
31	Godchild of	32
32	Godparent of	31
33	Godsibling of	33
34	Client of	38
35	Collaborated with	35
36	Colleague of	36
37	Coworker of	37
38	Patron of	34
39	Apprentice of	42
40	Employed by	41
41	Employer of	40
42	Master of	38
43	Rented from	44
44	Rented to	43
45	Engaged to	45
46	Spouse of	46
47	Parishoner of	48
48	Priest of	47
49	Had an other religious relationship with	49
50	Lived with	50
51	Neighbor of	51
59	Was admired by	8
